# AK Interactive 3rd Gen — ใส่ hex หลังเครื่องหมาย |
# Format: รหัสขวด | #HEX ชื่อสี (Set)
# เฉพาะ Set 3rd Gen: Standard, Metallic, Intense, Ink, Primer, Auxiliary

AK11032 | #EFD581 Pale Sand (Standard (3rd Gen))
AK11033 | #E6BC56 Dark Sand (Standard (3rd Gen))
AK11034 | #CC9B35 Medium Sand (Standard (3rd Gen))
AK11035 | #E9BD3A Sand Yellow (Standard (3rd Gen))
AK11036 | #FEEE8E Ice Yellow (Standard (3rd Gen))
AK11038 | #FEDD58 Pale Yellow (Standard (3rd Gen))
AK11039 | #EBD03B Purulent Yellow (Standard (3rd Gen))
AK11040 | #B1930D Sahara Yellow (Standard (3rd Gen))
AK11041 | #FEB449 Golden Yellow (Standard (3rd Gen))
AK11042 | #F09218 Volcanic Yellow (Standard (3rd Gen))
AK11043 | #ECA71C Dirty Yellow (Standard (3rd Gen))
AK11044 | #FAB711 Yellow (Standard (3rd Gen))
AK11046 | #FFD409 Radiant Yellow (Standard (3rd Gen))
AK11047 | #FFE121 Lemon Yellow (Standard (3rd Gen))
AK11048 | #F5EF2B Laser Yellow (Standard (3rd Gen))
AK11049 | #F6F101 Fluorescent Yellow (Standard (3rd Gen))
AK11050 | #FFDFB6 Light Flesh (Standard (3rd Gen))
AK11051 | #EDC180 Luminous Flesh (Standard (3rd Gen))
AK11052 | #F7B57B Basic Skin Tone (Standard (3rd Gen))
AK11053 | #FEB254 Radiant Flesh (Standard (3rd Gen))
AK11054 | #C98230 Medium Flesh Tone (Standard (3rd Gen))
AK11055 | #FFA84F Sunny Skin Tone (Standard (3rd Gen))
AK11056 | #EBA43A Dark Flesh (Standard (3rd Gen))
AK11057 | #CFBC81 Vampiric Flesh (Standard (3rd Gen))
AK11058 | #B7A261 Decomposed Flesh (Standard (3rd Gen))
AK11060 | #F6AF91 Sickly Pink (Standard (3rd Gen))
AK11061 | #F5A175 Salmon (Standard (3rd Gen))
AK11062 | #FE9679 Old Rose (Standard (3rd Gen))
AK11063 | #D78464 Brown Rose (Standard (3rd Gen))
AK11064 | #DE935A Beige Red (Standard (3rd Gen))
AK11066 | #6B102F Laser Magenta (Standard (3rd Gen))
AK11067 | #B1325F Magenta (Standard (3rd Gen))
AK11068 | #FF4C69 Fluorescent Magenta (Standard (3rd Gen))
AK11070 | #886DA4 Blue Violet (Standard (3rd Gen))
AK11071 | #656074 Lilac (Standard (3rd Gen))
AK11075 | #573536 Violet Red (Standard (3rd Gen))
AK11077 | #F07A3C Light Orange (Standard (3rd Gen))
AK11078 | #FA682C Medium Orange (Standard (3rd Gen))
AK11079 | #DB5E30 Burn Orange (Standard (3rd Gen))
AK11081 | #FE5102 Fluorescent Orange (Standard (3rd Gen))
AK11082 | #F18700 Luminous Orange (Standard (3rd Gen))
AK11083 | #F54949 Dead Red (Standard (3rd Gen))
AK11084 | #CF4747 Ruby (Standard (3rd Gen))
AK11085 | #E9582C Cadmium Red (Standard (3rd Gen))
AK11086 | #CF4E27 Amaranth Red (Standard (3rd Gen))
AK11087 | #D03B27 Scarlet Red (Standard (3rd Gen))
AK11089 | #C52219 Blood Red (Standard (3rd Gen))
AK11090 | #C44C33 Vermillion (Standard (3rd Gen))
AK11091 | #B83E26 Carmine (Standard (3rd Gen))
AK11092 | #B5311C Matt Red (Standard (3rd Gen))
AK11093 | #9E4429 Brick Red (Standard (3rd Gen))
AK11094 | #A13B2F Bordeaux Red (Standard (3rd Gen))
AK11095 | #7F190D Dirty Red (Standard (3rd Gen))
AK11096 | #69140D Wine Red (Standard (3rd Gen))
AK11097 | #533125 Burnt Red (Standard (3rd Gen))
AK11098 | #42271E Black Red (Standard (3rd Gen))
AK11099 | #F5A75F Ocher Orange (Standard (3rd Gen))
AK11100 | #CF8139 Light Brown (Standard (3rd Gen))
AK11101 | #B1581E Orange Brown (Standard (3rd Gen))
AK11103 | #9C4B30 Medium Rust (Standard (3rd Gen))
AK11104 | #683A2B Saddle Brown (Standard (3rd Gen))
AK11105 | #DB5615 Light Rust (Standard (3rd Gen))
AK11106 | #622A05 Mahogany Brown (Standard (3rd Gen))
AK11107 | #542303 Dark Rust (Standard (3rd Gen))
AK11108 | #381A02 Hull Red (Standard (3rd Gen))
AK11109 | #533914 Dark Brown (Standard (3rd Gen))
AK11110 | #46311E Leather Brown (Standard (3rd Gen))
AK11111 | #2D1E01 Burnt Umber (Standard (3rd Gen))
AK11112 | #211404 Grim Brown (Standard (3rd Gen))
AK11113 | #331E09 Chocolate (chipping) (Standard (3rd Gen))
AK11114 | #CCC4AF Deck Tan (Standard (3rd Gen))
AK11115 | #D0B580 Light Earth (Standard (3rd Gen))
AK11116 | #D19849 Tan Yellow (Standard (3rd Gen))
AK11117 | #AB7602 Golden Brown (Standard (3rd Gen))
AK11118 | #C7932D Ochre (Standard (3rd Gen))
AK11120 | #705331 Mud Brown (Standard (3rd Gen))
AK11121 | #7D5C33 Tan Earth (Standard (3rd Gen))
AK11122 | #A68236 Green Ochre (Standard (3rd Gen))
AK11123 | #966D1B Japanese Brown (Standard (3rd Gen))
AK11124 | #8B7029 Middle Stone (Standard (3rd Gen))
AK11125 | #705B3C Grey-brown (Standard (3rd Gen))
AK11126 | #705923 Green-brown (Standard (3rd Gen))
AK11127 | #654D1F British Khaki (Standard (3rd Gen))
AK11128 | #CDD742 Luminous Green (Standard (3rd Gen))
AK11129 | #98C31E Fluorescent Green (Standard (3rd Gen))
AK11130 | #DCD225 Pistachio (Standard (3rd Gen))
AK11132 | #DFE4BC Green-grey (Standard (3rd Gen))
AK11133 | #3B4D3D Dark Green-grey (Standard (3rd Gen))
AK11134 | #8BB283 Green Sky (Standard (3rd Gen))
AK11135 | #7C8872 Faded Green (Standard (3rd Gen))
AK11136 | #97B821 Frog Green (Standard (3rd Gen))
AK11137 | #819F1D Lime Green (Standard (3rd Gen))
AK11138 | #ACA300 Interior Yellow Green (Standard (3rd Gen))
AK11139 | #737B26 Golden Olive (Standard (3rd Gen))
AK11140 | #62832C Grass Green (Standard (3rd Gen))
AK11141 | #59922B Light Green (Standard (3rd Gen))
AK11143 | #008C5F Mint Green (Standard (3rd Gen))
AK11144 | #036242 Emerald (Standard (3rd Gen))
AK11145 | #175A31 Lizard Green (Standard (3rd Gen))
AK11146 | #224618 Dark Green (Standard (3rd Gen))
AK11147 | #4B5F20 Olive Green (Standard (3rd Gen))
AK11148 | #3E501C Medium Olive Green (Standard (3rd Gen))
AK11149 | #506E32 Intermediate Green (Standard (3rd Gen))
AK11150 | #485335 Gunship Green (Standard (3rd Gen))
AK11151 | #57460E Brownish Green (Standard (3rd Gen))
AK11152 | #555E1B Alga Green (Standard (3rd Gen))
AK11153 | #243128 Extra Dark Green (Standard (3rd Gen))
AK11154 | #423E23 German Field Grey (Standard (3rd Gen))
AK11155 | #312E0D Command Green (Standard (3rd Gen))
AK11156 | #4F411C Camouflage Green (Standard (3rd Gen))
AK11157 | #423910 Us Dark Green (Standard (3rd Gen))
AK11158 | #352E11 Reflective Green (Standard (3rd Gen))
AK11159 | #292907 Russian Green (Standard (3rd Gen))
AK11160 | #131E0D Black Green (Standard (3rd Gen))
AK11161 | #B4C4B7 Pale Blue (Standard (3rd Gen))
AK11162 | #B4BEBF Spectrum Blue (Standard (3rd Gen))
AK11163 | #676966 Intermediate Blue (Standard (3rd Gen))
AK11164 | #4A5E53 Dark Blue-grey (Standard (3rd Gen))
AK11165 | #5F6772 Grey-blue (Standard (3rd Gen))
AK11166 | #545653 French Blue (Standard (3rd Gen))
AK11167 | #1C2A2B Anthracite Grey (Standard (3rd Gen))
AK11169 | #358578 Blue-green (Standard (3rd Gen))
AK11170 | #006557 Aquatic Turquoise (Standard (3rd Gen))
AK11171 | #004A4D Turquoise (Standard (3rd Gen))
AK11172 | #003839 Archaic Turquoise (Standard (3rd Gen))
AK11173 | #1E3636 Ocean Blue (Standard (3rd Gen))
AK11174 | #CAE4E1 Snow Blue (Standard (3rd Gen))
AK11175 | #88C2CD Sky Blue (Standard (3rd Gen))
AK11176 | #69B4C7 Deep Sky Blue (Standard (3rd Gen))
AK11177 | #3A889F Ducat Blue (Standard (3rd Gen))
AK11178 | #004064 Fluorescent Blue (Standard (3rd Gen))
AK11179 | #1E357B Ultramarine (Standard (3rd Gen))
AK11180 | #192152 Imperial Blue (Standard (3rd Gen))
AK11181 | #1E2D4C Dark Blue (Standard (3rd Gen))
AK11183 | #332A47 Amethyst Blue (Standard (3rd Gen))
AK11184 | #163A48 Medium Blue (Standard (3rd Gen))
AK11185 | #014760 Star Blue (Standard (3rd Gen))
AK11186 | #132A38 Light Prussian Blue (Standard (3rd Gen))
AK11187 | #04151F Strong Dark Blue (Standard (3rd Gen))
AK11188 | #353942 Oxford (Standard (3rd Gen))
AK11189 | #0A0C1B Dark Prussian Blue (Standard (3rd Gen))
AK11190 | #0D1814 Dark Sea Blue (Standard (3rd Gen))
AK11213 | #C61215 Clear Red (Standard (3rd Gen))
AK11214 | #0D265C Clear Blue (Standard (3rd Gen))
AK11215 | #734C21 Clear Smoke (Standard (3rd Gen))
AK11216 | #029837 Clear Green (Standard (3rd Gen))
AK11217 | #F49401 Clear Yellow (Standard (3rd Gen))
AK11218 | #EB5D0B Clear Orange (Standard (3rd Gen))
