# Scale75 — ใส่ hex หลังเครื่องหมาย |
# Format: ชื่อสี | #HEX (Set)
# Scale75 ไม่มีรหัสขวด — ใช้ Set เป็นตัวแบ่งประเภท

# ── Artist Range ──────────────────────────────────────
Inktense Black | #292929 (Inktensity Range)
Inktense Blue | #012861 (Inktensity Range)
Inktense Chesnut | #803C15 (Inktensity Range)
Inktense Green | #043E32 (Inktensity Range)
Inktense Red | #A91E21 (Inktensity Range)
Inktense Violet | #49196F (Inktensity Range)
Inktense Wood | #493326 (Inktensity Range)
Inktense Yellow | #E3BE15 (Inktensity Range)

# ── Instant Colors Range ──────────────────────────────────────
Acid Green | #C4D964 (Instant Colors Range)
Ancestral Blue | #61ABC4 (Instant Colors Range)
Arcane Purple | #350D4C (Instant Colors Range)
Basilisk Green | #3D5152 (Instant Colors Range)
Belladonna Green | #4CA579 (Instant Colors Range)
Corrupted Stamina | #699D0C (Instant Colors Range)
Dark Kraken | #194A5B (Instant Colors Range)
Dead Flesh | #7F6662 (Instant Colors Range)
Demon Brown | #66271E (Instant Colors Range)
Dragon Blood | #810622 (Instant Colors Range)
Drain Life | #E69464 (Instant Colors Range)
Elixir Green | #005C4D (Instant Colors Range)
Endurance Brown | #773F1C (Instant Colors Range)
Estus Yellow | #FEE459 (Instant Colors Range)
Evil Root | #F07E4A (Instant Colors Range)
Fairy Blood | #414874 (Instant Colors Range)
Frenzy Orange | #EC6001 (Instant Colors Range)
Full Healing | #FEEF00 (Instant Colors Range)
Golem Grey | #2C3031 (Instant Colors Range)
Grey Spell | #808FB0 (Instant Colors Range)
Grizzly Brown | #50181B (Instant Colors Range)
Health Red | #C31610 (Instant Colors Range)
Human Flesh | #DAAB97 (Instant Colors Range)
Leviathan Blue | #005E70 (Instant Colors Range)
Life Red | #E63217 (Instant Colors Range)
Love Affair | #E92B37 (Instant Colors Range)
Magic Blue | #147797 (Instant Colors Range)
Mana Regeneration | #0184D2 (Instant Colors Range)
Ogre Brown | #C07704 (Instant Colors Range)
Paralyze Blue | #3579C0 (Instant Colors Range)
Phoenix Egg | #E5D0A3 (Instant Colors Range)
Phoenix Feather | #D18A5C (Instant Colors Range)
Rage Brown | #7C2B16 (Instant Colors Range)
Ragweed Orange | #DF6A27 (Instant Colors Range)
Remove Mana | #0D2736 (Instant Colors Range)
Replenish Blue | #01479C (Instant Colors Range)
Rotten Pus | #FBB400 (Instant Colors Range)
Salmon Fury | #EB5650 (Instant Colors Range)
Savage Beige | #F3D783 (Instant Colors Range)
Shadow Black | #1D1F1C (Instant Colors Range)
Spectral Wolf | #AB9FA1 (Instant Colors Range)
Sulfur Yellow | #FED500 (Instant Colors Range)
Toad Green | #475139 (Instant Colors Range)
Undead Dragon | #B6C8BC (Instant Colors Range)
Werewolf Brown | #553C35 (Instant Colors Range)
Wild Beast | #CA854E (Instant Colors Range)
Zombie Skin | #A6A869 (Instant Colors Range)
Zucchini Green | #405B32 (Instant Colors Range)

# ── Metal N Alchemy Range ──────────────────────────────────────
Amber Alchemy | #B89E85 (Metal N Alchemy Range)
Amethyst Alchemy | #9F8EB0 (Metal N Alchemy Range)
Black Metal | #484848 (Metal N Alchemy Range)
Citrine Alchemy | #EFE1C7 (Metal N Alchemy Range)
Cobalt Metal | #7FA2B5 (Metal N Alchemy Range)
Decayed Metal | #5D4038 (Metal N Alchemy Range)
Dwarven Gold | #D68D2F (Metal N Alchemy Range)
Elven Gold | #CDAB47 (Metal N Alchemy Range)
Emerald Alchemy | #78A098 (Metal N Alchemy Range)
Garnet Alchemy | #88424D (Metal N Alchemy Range)
Heavy Metal | #9C9DA1 (Metal N Alchemy Range)
Kunzite Alchemy | #CA9FBB (Metal N Alchemy Range)
Moonstone Alchemy | #BC937F (Metal N Alchemy Range)
Necro Gold | #574E31 (Metal N Alchemy Range)
Old Copper | #97604C (Metal N Alchemy Range)
Peridot Alchemy | #8A8D78 (Metal N Alchemy Range)
Pure Copper | #CC744C (Metal N Alchemy Range)
Ruby Alchemy | #D37887 (Metal N Alchemy Range)
Speed Metal | #D4D4D6 (Metal N Alchemy Range)
Thrash Metal | #544943 (Metal N Alchemy Range)
Tourmaline Alchemy | #E7A8B3 (Metal N Alchemy Range)
Victorian Brass | #B6843B (Metal N Alchemy Range)
Viking Gold | #8D591F (Metal N Alchemy Range)
White Metal | #F1F1F1 (Metal N Alchemy Range)

# ── Scale Color Range ──────────────────────────────────────
Abyssal Blue | #292A2F (Scale Color Range)
Adriatic Blue | #128A9B (Scale Color Range)
African Shadow | #56424B (Scale Color Range)
Aldebaran Red | #BE331E (Scale Color Range)
Antares Red | #C11E21 (Scale Color Range)
Anthartic Grey | #42424C (Scale Color Range)
Arabic Shadow | #7C6833 (Scale Color Range)
Ardenes Green | #566345 (Scale Color Range)
Basic Flesh | #D0B393 (Scale Color Range)
Bering Blue | #6C8997 (Scale Color Range)
Birch | #EFD2B0 (Scale Color Range)
Black | #2C2C2C (Scale Color Range)
Black Forest Green | #004834 (Scale Color Range)
Black Leather | #422A2A (Scale Color Range)
Blood Red | #912727 (Scale Color Range)
Boreal Green | #00563E (Scale Color Range)
Brown Gray | #7B7170 (Scale Color Range)
Brown Leather | #4D2C1D (Scale Color Range)
Cantabric Blue | #164765 (Scale Color Range)
Caribbean Blue | #75B6B0 (Scale Color Range)
Caspian Blue | #2A4F58 (Scale Color Range)
Deep Blue | #383B4A (Scale Color Range)
Deep Red | #701B20 (Scale Color Range)
Dubai Brown | #583D22 (Scale Color Range)
Eclipse Grey | #363636 (Scale Color Range)
Fall Green | #C9D161 (Scale Color Range)
Field Gray | #66736C (Scale Color Range)
Fuchsia | #AA336B (Scale Color Range)
Gobi Brown | #6E5A3F (Scale Color Range)
Golden Skin | #EDC89C (Scale Color Range)
Graphene Gray | #4A515B (Scale Color Range)
Graphite | #8B8C87 (Scale Color Range)
Indian Shadow | #673D3F (Scale Color Range)
Irati Green | #008721 (Scale Color Range)
Iroko | #B28F4D (Scale Color Range)
Kalahari Orange | #A3563C (Scale Color Range)
Light Skin | #E2B890 (Scale Color Range)
Mars Orange | #AF6631 (Scale Color Range)
Mediterranean Blue | #4D73B2 (Scale Color Range)
Mojave White | #D2CEB5 (Scale Color Range)
Nacar | #9B9F90 (Scale Color Range)
